League Name,Team Name,Team ID,Exclude?,,,,,,,,
AFC Champions League,FC Machida,6207339,,,,,,,,,
AFC Champions League,Gangwon,5348606,,,,,,,,,
AFC Ladies Asian Cup,Iran (W),5375335,,,,,,,,,
AFC Ladies Asian Cup,South Korea (W),548619,,,,,,,,,
Argentinian Primera Division,Aldosivi,5174666,,,,,,,,,
Argentinian Primera Division,Argentinos Juniors,453739,,,,,,,,,
Argentinian Primera Division,Atl Tucuman,5181445,,,,,,,,,
Argentinian Primera Division,Banfield,194508,,,,,,,,,
Argentinian Primera Division,Barracas Central,5408226,,,,,,,,,
Argentinian Primera Division,Belgrano,1496989,,,,,,,,,
Argentinian Primera Division,Boca Juniors,17304,,,,,,,,,
Argentinian Primera Division,CA Huracan,12545982,,,,,,,,,
Argentinian Primera Division,CA Platense,10305879,,,,,,,,,
Argentinian Primera Division,Defensa y Justicia,5178272,,,,,,,,,
Argentinian Primera Division,Deportivo Riestra,5994579,,,,,,,,,
Argentinian Primera Division,Estudiantes,194509,,,,,,,,,
Argentinian Primera Division,Estudiantes Rio Cuarto,10891028,,,,,,,,,
Argentinian Primera Division,Gimnasia La Plata,1213581,,,,,,,,,
Argentinian Primera Division,Independiente Rivadavia,5333044,,,,,,,,,
Argentinian Primera Division,Instituto,897267,,,,,,,,,
Argentinian Primera Division,Lanus,194513,,,,,,,,,
Argentinian Primera Division,Newells,194506,,,,,,,,,
Argentinian Primera Division,Racing Club,198558,,,,,,,,,
Argentinian Primera Division,River Plate,194515,,,,,,,,,
Argentinian Primera Division,Rosario Central,220949,,,,,,,,,
Argentinian Primera Division,Sarmiento de Junin,5971606,,,,,,,,,
Argentinian Primera Division,Tigre,2451815,,,,,,,,,
Argentinian Primera Division,Union Santa Fe,194516,,,,,,,,,
Argentinian Primera Division,Velez Sarsfield,192085,,,,,,,,,
Argentinian Primera Nacional,All Boys,4724521,,,,,,,,,
Argentinian Primera Nacional,Almirante Brown,5359221,,,,,,,,,
Argentinian Primera Nacional,Atletico Rafaela,476271,,,,,,,,,
Argentinian Primera Nacional,CA Atlanta,5860879,,,,,,,,,
Argentinian Primera Nacional,CA Central Norte,8278454,,,,,"search_terms = [""Burgos"", ""Cittadella"", ""Andorra""]",,,,
Argentinian Primera Nacional,CA Colegiales,7670892,,,,,,,,,
Argentinian Primera Nacional,CA Guemes,10918282,,,,,,,,,
Argentinian Primera Nacional,CA Temperley,8742769,,,,,Burgos,,,"[""Burgos""","[""Burgos"""
Argentinian Primera Nacional,CD MAIPU,10723921,,,,,Cittadella,,,"""Cittadella""","[""Burgos"",""Cittadella"""
Argentinian Primera Nacional,Chacarita,192084,,,,,Andorra CF,,,"""Andorra CF""","[""Burgos"",""Cittadella"",""Andorra CF"""
Argentinian Primera Nacional,Ciudad de Bolivar,27910101,,,,,Sport Recife,,,"""Sport Recife""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"""
Argentinian Primera Nacional,Club Atletico Mitre,14926119,,,,,Malaga,,,"""Malaga""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"""
Argentinian Primera Nacional,Club Atletico Racing de Cor,39912836,,,,,Cruzeiro MG,,,"""Cruzeiro MG""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"""
Argentinian Primera Nacional,Deportivo Madryn,10995035,,,,,Basaksehir,,,"""Basaksehir""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"""
Argentinian Primera Nacional,Deportivo Moron,5289143,,,,,Incheon,,,"""Incheon""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"""
Argentinian Primera Nacional,Estudiantes de Caseros,7546748,,,,,Wanderers (Uru),,,"""Wanderers (Uru)""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"""
Argentinian Primera Nacional,FC Midland,9518489,,,,,Varzim,,,"""Varzim""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"""
Argentinian Primera Nacional,Gimnasia Jujuy,1213580,,,,,Elche,,,"""Elche""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"""
Argentinian Primera Nacional,Godoy Cruz,1551296,,,,,Fortaleza EC,,,"""Fortaleza EC""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"""
Argentinian Primera Nacional,Patronato,5178628,,,,,Reggina,,,"""Reggina""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"""
Argentinian Primera Nacional,Quilmes,476270,,,,,Fluminense,,,"""Fluminense""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"""
Argentinian Primera Nacional,San Martin de San Juan,13140404,,,,,Valladolid,,,"""Valladolid""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"""
Argentinian Primera Nacional,San Martin de Tucuman,7097927,,,,,Empoli,,,"""Empoli""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"""
Argentinian Primera Nacional,Tristan Suarez,7128568,,,,,Frosinone,,,"""Frosinone""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"""
Armenian Premier League,FC Noah,25068897,,,,,Penarol,,,"""Penarol""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"""
Armenian Premier League,Gandzasar Kapan,4043809,,,,,Besiktas,,,"""Besiktas""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"""
Australian A-League Men,Adelaide United,571273,,,,,Cerro Largo,,,"""Cerro Largo""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"""
Australian A-League Men,Auckland FC,47625959,,,,,Espanyol,,,"""Espanyol""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"""
Australian A-League Men,Central Coast Mariners,1205126,,,,,Mallorca,,,"""Mallorca""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"""
Australian A-League Men,Macarthur FC,36700739,,,,,Gwangju,,,"""Gwangju""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"""
Australian A-League Men,Melbourne Victory,1205124,,,,,Perugia,,,"""Perugia""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"""
Australian A-League Men,Newcastle Jets,1205125,,,,,Reggiana,,,"""Reggiana""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"""
Australian A-League Men,Perth Glory,370132,,,,,Girona,,,"""Girona""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"""
Australian A-League Men,Sydney FC,1205121,,,,,Inter,,,"""Inter""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"""
Australian A-League Men,Wellington Phoenix,2469649,,,,,Fiorentina,,,"""Fiorentina""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"""
Australian A-League Men,Western Sydney Wanderers,6480414,,,,,Lecce,,,"""Lecce""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"""
Austrian Bundesliga,Austria Wien,181248,,,,,Cuiaba,,,"""Cuiaba""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"""
Austrian Bundesliga,FC Blau Weiss Linz,9481404,,,,,Granada,,,"""Granada""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"""
Austrian Bundesliga,Grazer AK,14074,,,,,Tenerife,,,"""Tenerife""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"""
Austrian Bundesliga,Hartberg,345648,,,,,Alcorcon,,,"""Alcorcon""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"""
Austrian Bundesliga,LASK Linz,8587663,,,,,Spezia,,,"""Spezia""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"""
Austrian Bundesliga,RZ Pellets WAC,6491604,,,,,Cerrito,,,"""Cerrito""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"""
Austrian Bundesliga,Rapid Vienna,65350,,,,,UD Logrones,,,"""UD Logrones""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"",""UD Logrones"""
Austrian Bundesliga,Red Bull Salzburg,52495026,,,,,Pescara,,,"""Pescara""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"",""UD Logrones"",""Pescara"""
Austrian Bundesliga,SCR Altach,872710,,,,,Pordenone,,,"""Pordenone""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"",""UD Logrones"",""Pescara"",""Pordenone"""
Austrian Bundesliga,SV Ried,872714,,,,,Hatayspor,,,"""Hatayspor""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"",""UD Logrones"",""Pescara"",""Pordenone"",""Hatayspor"""
Austrian Bundesliga,Sturm Graz,71085,,,,,Galatasaray,,,"""Galatasaray""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"",""UD Logrones"",""Pescara"",""Pordenone"",""Hatayspor"",""Galatasaray"""
Austrian Bundesliga,WSG Wattens,3258153,,,,,Santa Clara,,,"""Santa Clara""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"",""UD Logrones"",""Pescara"",""Pordenone"",""Hatayspor"",""Galatasaray"",""Santa Clara"""
Austrian Erste Liga,Rapid Vienna (Am),4902225,,,,,Juventus,,,"""Juventus""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"",""UD Logrones"",""Pescara"",""Pordenone"",""Hatayspor"",""Galatasaray"",""Santa Clara"",""Juventus"""
Austrian Erste Liga,SV Austria Salzburg,4902221,,,,,Mafra,,,"""Mafra""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"",""UD Logrones"",""Pescara"",""Pordenone"",""Hatayspor"",""Galatasaray"",""Santa Clara"",""Juventus"",""Mafra"""
